[german-vpd] GIM caches ready (6s)
[german-vpd] bank resident (21s, 42 GiB)
[german-vpd] baseline mean log p = -2.6076
[german-vpd] attribution for 24 positions in 5s
[german-vpd]   attr_topk          k=8     Δlogp -78.1448  (3s)
[german-vpd]   attr_topk          k=16    Δlogp -49.6852  (3s)
[german-vpd]   attr_topk          k=32    Δlogp -37.4442  (3s)
[german-vpd]   attr_topk          k=64    Δlogp -18.1072  (3s)
[german-vpd]   attr_topk          k=128   Δlogp -11.0284  (3s)
[german-vpd]   attr_topk          k=256   Δlogp  -9.8043  (3s)
[german-vpd]   attr_topk          k=512   Δlogp  -7.8512  (3s)
[german-vpd]   attr_topk          k=1024  Δlogp  -2.7863  (3s)
[german-vpd]   attr_topk          k=2048  Δlogp  -0.2853  (3s)
[german-vpd]   attr_topk          k=3072  Δlogp  -0.0629  (3s)
[german-vpd]   attr_topk          k=4096  Δlogp  +0.0000  (3s)
[german-vpd]   attr_soft          k=None  Δlogp -82.7658  (3s)
[german-vpd]   posterior_topk     k=8     Δlogp -87.8229  (3s)
[german-vpd]   posterior_topk     k=16    Δlogp -87.4637  (3s)
[german-vpd]   posterior_topk     k=32    Δlogp -82.4101  (3s)
[german-vpd]   posterior_topk     k=64    Δlogp -75.0823  (3s)
[german-vpd]   posterior_topk     k=128   Δlogp -65.6914  (3s)
[german-vpd]   posterior_topk     k=256   Δlogp -51.8521  (3s)
[german-vpd]   posterior_topk     k=512   Δlogp -37.6872  (3s)
[german-vpd]   posterior_topk     k=1024  Δlogp -24.1761  (3s)
[german-vpd]   posterior_topk     k=2048  Δlogp -10.0994  (3s)
[german-vpd]   posterior_topk     k=3072  Δlogp  -6.6875  (3s)
[german-vpd]   posterior_topk     k=4096  Δlogp  +0.0000  (3s)
[german-vpd]   posterior_soft     k=None  Δlogp -90.0025  (3s)
[german-vpd]   shuffled_topk      k=8     Δlogp -84.7467  (3s)
[german-vpd]   shuffled_topk      k=16    Δlogp -54.1061  (3s)
[german-vpd]   shuffled_topk      k=32    Δlogp -33.0127  (3s)
[german-vpd]   shuffled_topk      k=64    Δlogp -19.4935  (3s)
[german-vpd]   shuffled_topk      k=128   Δlogp -10.6354  (3s)
[german-vpd]   shuffled_topk      k=256   Δlogp  -9.6786  (3s)
[german-vpd]   shuffled_topk      k=512   Δlogp  -8.1450  (3s)
[german-vpd]   shuffled_topk      k=1024  Δlogp  -4.1266  (3s)
[german-vpd]   shuffled_topk      k=2048  Δlogp  -0.5887  (3s)
[german-vpd]   shuffled_topk      k=3072  Δlogp  -0.0613  (3s)
[german-vpd]   shuffled_topk      k=4096  Δlogp  +0.0000  (3s)
[german-vpd]   shuffled_soft      k=None  Δlogp -83.9619  (3s)
[german-vpd]   mass_topk          k=8     Δlogp -88.3428  (3s)
[german-vpd]   mass_topk          k=16    Δlogp -85.5318  (3s)
[german-vpd]   mass_topk          k=32    Δlogp -52.2820  (3s)
[german-vpd]   mass_topk          k=64    Δlogp -19.1720  (3s)
[german-vpd]   mass_topk          k=128   Δlogp -10.9933  (3s)
[german-vpd]   mass_topk          k=256   Δlogp  -7.8367  (3s)
[german-vpd]   mass_topk          k=512   Δlogp  -7.9855  (3s)
[german-vpd]   mass_topk          k=1024  Δlogp  -4.3023  (3s)
[german-vpd]   mass_topk          k=2048  Δlogp  -0.3820  (3s)
[german-vpd]   mass_topk          k=3072  Δlogp  -0.1106  (3s)
[german-vpd]   mass_topk          k=4096  Δlogp  +0.0000  (3s)
[german-vpd]   mass_soft          k=None  Δlogp -85.6007  (3s)
[german-vpd] wrote /dev/shm/geo1b/run1b_streamC4096/attribution_gating.json  (total 168s)
