[german-vpd] labeling 4096/4096 components with claude-sonnet-5 (20 examples each, 32 workers)
[german-vpd] labeled 64/4096 (7.3/s, eta 9.2 min, 193,702 in / 4,653 out tokens)
[german-vpd] labeled 128/4096 (7.8/s, eta 8.5 min, 402,727 in / 10,009 out tokens)
[german-vpd] labeled 192/4096 (4.3/s, eta 15.1 min, 1,116,535 in / 30,504 out tokens)
[german-vpd] labeled 256/4096 (5.2/s, eta 12.3 min, 1,256,290 in / 35,041 out tokens)
[german-vpd] labeled 320/4096 (6.5/s, eta 9.7 min, 1,256,290 in / 35,041 out tokens)
[german-vpd] labeled 384/4096 (5.2/s, eta 11.8 min, 1,906,050 in / 52,046 out tokens)
[german-vpd] labeled 448/4096 (6.1/s, eta 10.0 min, 1,906,050 in / 52,046 out tokens)
[german-vpd] labeled 512/4096 (7.0/s, eta 8.6 min, 1,906,050 in / 52,046 out tokens)
[german-vpd] labeled 576/4096 (7.8/s, eta 7.5 min, 1,906,050 in / 52,046 out tokens)
[german-vpd] labeled 640/4096 (8.7/s, eta 6.6 min, 1,906,050 in / 52,046 out tokens)
[german-vpd] labeled 704/4096 (9.2/s, eta 6.1 min, 1,976,980 in / 53,695 out tokens)
[german-vpd] labeled 768/4096 (6.5/s, eta 8.6 min, 3,183,302 in / 85,526 out tokens)
[german-vpd] labeled 832/4096 (7.0/s, eta 7.8 min, 3,183,302 in / 85,526 out tokens)
[german-vpd] labeled 896/4096 (7.5/s, eta 7.1 min, 3,183,302 in / 85,526 out tokens)
[german-vpd] labeled 960/4096 (8.1/s, eta 6.5 min, 3,183,302 in / 85,526 out tokens)
[german-vpd] labeled 1024/4096 (8.6/s, eta 5.9 min, 3,183,302 in / 85,526 out tokens)
[german-vpd] labeled 1088/4096 (9.2/s, eta 5.5 min, 3,183,302 in / 85,526 out tokens)
[german-vpd] labeled 1152/4096 (7.5/s, eta 6.6 min, 4,138,975 in / 110,734 out tokens)
[german-vpd] labeled 1216/4096 (7.9/s, eta 6.1 min, 4,138,975 in / 110,734 out tokens)
[german-vpd] labeled 1280/4096 (8.3/s, eta 5.7 min, 4,138,975 in / 110,734 out tokens)
[german-vpd] labeled 1344/4096 (8.7/s, eta 5.3 min, 4,138,975 in / 110,734 out tokens)
[german-vpd] labeled 1408/4096 (9.1/s, eta 4.9 min, 4,138,975 in / 110,734 out tokens)
[german-vpd] labeled 1472/4096 (9.5/s, eta 4.6 min, 4,138,975 in / 110,734 out tokens)
[german-vpd] labeled 1536/4096 (8.3/s, eta 5.1 min, 4,958,425 in / 134,250 out tokens)
[german-vpd] labeled 1600/4096 (8.7/s, eta 4.8 min, 4,958,425 in / 134,250 out tokens)
[german-vpd] labeled 1664/4096 (9.0/s, eta 4.5 min, 4,958,425 in / 134,250 out tokens)
[german-vpd] labeled 1728/4096 (9.3/s, eta 4.2 min, 4,971,468 in / 134,584 out tokens)
[german-vpd] labeled 1792/4096 (9.5/s, eta 4.1 min, 5,072,418 in / 137,266 out tokens)
[german-vpd] labeled 1856/4096 (9.8/s, eta 3.8 min, 5,072,418 in / 137,266 out tokens)
[german-vpd] labeled 1920/4096 (8.2/s, eta 4.4 min, 6,269,812 in / 172,727 out tokens)
[german-vpd] labeled 1984/4096 (7.5/s, eta 4.7 min, 7,039,669 in / 195,086 out tokens)
[german-vpd] labeled 2048/4096 (7.7/s, eta 4.4 min, 7,039,669 in / 195,086 out tokens)
[german-vpd] labeled 2112/4096 (7.8/s, eta 4.2 min, 7,166,064 in / 198,681 out tokens)
[german-vpd] labeled 2176/4096 (8.1/s, eta 4.0 min, 7,166,064 in / 198,681 out tokens)
[german-vpd] labeled 2240/4096 (8.3/s, eta 3.7 min, 7,166,064 in / 198,681 out tokens)
[german-vpd] labeled 2304/4096 (8.5/s, eta 3.5 min, 7,166,064 in / 198,681 out tokens)
[german-vpd] labeled 2368/4096 (8.8/s, eta 3.3 min, 7,166,064 in / 198,681 out tokens)
[german-vpd] labeled 2432/4096 (9.0/s, eta 3.1 min, 7,166,064 in / 198,681 out tokens)
[german-vpd] labeled 2496/4096 (9.2/s, eta 2.9 min, 7,166,064 in / 198,681 out tokens)
[german-vpd] labeled 2560/4096 (9.5/s, eta 2.7 min, 7,166,064 in / 198,681 out tokens)
[german-vpd] labeled 2624/4096 (9.7/s, eta 2.5 min, 7,166,064 in / 198,681 out tokens)
[german-vpd] labeled 2688/4096 (9.8/s, eta 2.4 min, 7,262,818 in / 201,261 out tokens)
[german-vpd] labeled 2752/4096 (9.8/s, eta 2.3 min, 7,497,256 in / 206,793 out tokens)
[german-vpd] labeled 2816/4096 (9.8/s, eta 2.2 min, 7,645,453 in / 210,330 out tokens)
[german-vpd] labeled 2880/4096 (9.9/s, eta 2.1 min, 7,784,299 in / 213,915 out tokens)
[german-vpd] labeled 2944/4096 (8.3/s, eta 2.3 min, 9,405,573 in / 260,724 out tokens)
[german-vpd] labeled 3008/4096 (8.5/s, eta 2.1 min, 9,405,573 in / 260,724 out tokens)
[german-vpd] labeled 3072/4096 (8.1/s, eta 2.1 min, 10,020,292 in / 282,428 out tokens)
[german-vpd] labeled 3136/4096 (8.3/s, eta 1.9 min, 10,020,292 in / 282,428 out tokens)
[german-vpd] labeled 3200/4096 (8.5/s, eta 1.8 min, 10,020,292 in / 282,428 out tokens)
[german-vpd] labeled 3264/4096 (8.3/s, eta 1.7 min, 10,381,731 in / 293,012 out tokens)
[german-vpd] labeled 3328/4096 (8.5/s, eta 1.5 min, 10,413,208 in / 294,083 out tokens)
[german-vpd] labeled 3392/4096 (8.6/s, eta 1.4 min, 10,418,603 in / 294,204 out tokens)
[german-vpd] labeled 3456/4096 (8.8/s, eta 1.2 min, 10,418,603 in / 294,204 out tokens)
[german-vpd] labeled 3520/4096 (8.9/s, eta 1.1 min, 10,418,603 in / 294,204 out tokens)
[german-vpd] labeled 3584/4096 (9.1/s, eta 0.9 min, 10,418,603 in / 294,204 out tokens)
[german-vpd] labeled 3648/4096 (9.3/s, eta 0.8 min, 10,418,603 in / 294,204 out tokens)
[german-vpd] labeled 3712/4096 (9.4/s, eta 0.7 min, 10,418,603 in / 294,204 out tokens)
[german-vpd] labeled 3776/4096 (9.6/s, eta 0.6 min, 10,434,008 in / 294,890 out tokens)
[german-vpd] labeled 3840/4096 (8.4/s, eta 0.5 min, 11,102,747 in / 313,753 out tokens)
[german-vpd] labeled 3904/4096 (8.6/s, eta 0.4 min, 11,102,747 in / 313,753 out tokens)
[german-vpd] labeled 3968/4096 (8.7/s, eta 0.2 min, 11,102,747 in / 313,753 out tokens)
[german-vpd] labeled 4032/4096 (8.9/s, eta 0.1 min, 11,102,747 in / 313,753 out tokens)
[german-vpd] labeled 4096/4096 (9.0/s, eta 0.0 min, 11,102,747 in / 313,753 out tokens)
[german-vpd] catalog: 4096 components -> /dev/shm/geo1b/run1b_streamC4096/catalog_prop1b_1B.json
[german-vpd] monosemanticity: mono=3344 (81.8%)  partial=713 (17.4%)  poly=30 (0.7%)
[german-vpd] categories: next-token-prediction=1172  subword-continuation=799  syntax=656  current-token=559  formatting-notation=336  semantic-topic=314  boundary=248  other=4
[german-vpd] errors: 8;  tokens: 11,102,747 in / 313,753 out
