=== token stream (1011875840 tokens) ===
model snapshot at /workspace/.cache/huggingface/hub/models--unsloth--Llama-3.2-1B/snapshots/9535bd9b1d1dea6acafbdc4813b728796aeb28da
5M tokens (3s)
10M tokens (7s)
Token indices sequence length is longer than the specified maximum sequence length for this model (145190 > 131072). Running this sequence through the model will result in indexing errors
15M tokens (10s)
20M tokens (14s)
25M tokens (18s)
30M tokens (22s)
35M tokens (26s)
40M tokens (29s)
45M tokens (33s)
50M tokens (37s)
55M tokens (41s)
60M tokens (45s)
65M tokens (48s)
70M tokens (52s)
75M tokens (56s)
80M tokens (60s)
85M tokens (63s)
90M tokens (67s)
95M tokens (71s)
100M tokens (75s)
105M tokens (79s)
110M tokens (83s)
115M tokens (86s)
120M tokens (90s)
125M tokens (94s)
131M tokens (100s)
135M tokens (103s)
140M tokens (106s)
145M tokens (109s)
150M tokens (113s)
155M tokens (116s)
160M tokens (119s)
165M tokens (123s)
170M tokens (126s)
175M tokens (130s)
180M tokens (133s)
185M tokens (137s)
190M tokens (141s)
195M tokens (145s)
200M tokens (149s)
205M tokens (153s)
210M tokens (157s)
215M tokens (161s)
220M tokens (165s)
225M tokens (169s)
230M tokens (173s)
235M tokens (177s)
240M tokens (182s)
245M tokens (185s)
250M tokens (189s)
255M tokens (193s)
260M tokens (198s)
265M tokens (201s)
270M tokens (205s)
275M tokens (208s)
280M tokens (212s)
285M tokens (216s)
290M tokens (220s)
295M tokens (224s)
300M tokens (228s)
305M tokens (232s)
310M tokens (235s)
315M tokens (240s)
321M tokens (245s)
326M tokens (249s)
330M tokens (253s)
335M tokens (257s)
340M tokens (261s)
345M tokens (264s)
350M tokens (268s)
355M tokens (272s)
360M tokens (275s)
365M tokens (279s)
370M tokens (283s)
375M tokens (286s)
380M tokens (289s)
385M tokens (296s)
390M tokens (302s)
395M tokens (306s)
400M tokens (309s)
405M tokens (312s)
410M tokens (315s)
415M tokens (318s)
420M tokens (321s)
425M tokens (323s)
430M tokens (326s)
435M tokens (329s)
440M tokens (332s)
445M tokens (335s)
450M tokens (337s)
455M tokens (340s)
460M tokens (343s)
465M tokens (346s)
470M tokens (348s)
475M tokens (351s)
480M tokens (354s)
485M tokens (357s)
490M tokens (360s)
495M tokens (363s)
500M tokens (366s)
505M tokens (369s)
510M tokens (371s)
515M tokens (375s)
520M tokens (380s)
525M tokens (383s)
530M tokens (387s)
535M tokens (390s)
540M tokens (396s)
545M tokens (402s)
551M tokens (406s)
555M tokens (409s)
560M tokens (412s)
565M tokens (414s)
570M tokens (418s)
575M tokens (421s)
580M tokens (424s)
585M tokens (427s)
590M tokens (430s)
595M tokens (433s)
600M tokens (435s)
605M tokens (439s)
610M tokens (442s)
615M tokens (445s)
620M tokens (449s)
625M tokens (453s)
630M tokens (456s)
635M tokens (459s)
640M tokens (463s)
645M tokens (466s)
650M tokens (469s)
655M tokens (472s)
660M tokens (475s)
665M tokens (479s)
670M tokens (481s)
675M tokens (485s)
680M tokens (488s)
685M tokens (490s)
690M tokens (494s)
695M tokens (497s)
700M tokens (500s)
705M tokens (504s)
710M tokens (507s)
715M tokens (510s)
