[german-vpd] rank0 sweep 0/61760 (1s, 8,096 positions, 7.5k pos/s)
[german-vpd] rank0 sweep 64/61760 (13s, 526,240 positions, 41.8k pos/s)
[german-vpd] rank0 sweep 128/61760 (24s, 1,044,384 positions, 43.3k pos/s)
[german-vpd] rank0 sweep 192/61760 (36s, 1,562,528 positions, 43.9k pos/s)
[german-vpd] rank0 sweep 256/61760 (47s, 2,080,672 positions, 44.1k pos/s)
[german-vpd] rank0 sweep 320/61760 (59s, 2,598,816 positions, 44.3k pos/s)
[german-vpd] rank0 sweep 384/61760 (70s, 3,116,960 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 448/61760 (82s, 3,635,104 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 512/61760 (93s, 4,153,248 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 576/61760 (105s, 4,671,392 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 640/61760 (116s, 5,189,536 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 704/61760 (128s, 5,707,680 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 768/61760 (139s, 6,225,824 positions, 44.8k pos/s)
[german-vpd] rank0 sweep 832/61760 (151s, 6,743,968 positions, 44.8k pos/s)
[german-vpd] rank0 sweep 896/61760 (162s, 7,262,112 positions, 44.8k pos/s)
[german-vpd] rank0 sweep 960/61760 (174s, 7,780,256 positions, 44.8k pos/s)
[german-vpd] rank0 sweep 1024/61760 (185s, 8,298,400 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 1088/61760 (197s, 8,816,544 positions, 44.8k pos/s)
[german-vpd] rank0 sweep 1152/61760 (208s, 9,334,688 positions, 44.8k pos/s)
[german-vpd] rank0 sweep 1216/61760 (220s, 9,852,832 positions, 44.8k pos/s)
[german-vpd] rank0 sweep 1280/61760 (231s, 10,370,976 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 1344/61760 (243s, 10,889,120 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 1408/61760 (254s, 11,407,264 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 1472/61760 (266s, 11,925,408 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 1536/61760 (277s, 12,443,552 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 1600/61760 (289s, 12,961,696 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 1664/61760 (300s, 13,479,840 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 1728/61760 (312s, 13,997,984 positions, 44.9k pos/s)
